timestamp(ms),wx,wy,wz,ax,ay,az,temperature
1832256,1.1585,0.6707,0.3659,0.0408,0.0020,0.9753,42.2
1832266,0.4268,0.5488,0.6707,0.0405,0.0046,0.9680,42.3
1832276,0.6098,0.4878,0.6098,0.0435,0.0034,0.9683,42.3
1832286,0.4268,0.5488,0.6707,0.0364,0.0078,0.9587,42.2
1832296,1.0976,0.5488,0.6098,0.0430,0.0061,0.9707,42.1
1832306,0.4268,0.5488,0.4878,0.0439,0.0051,0.9688,42.2
1832316,0.5488,0.4268,0.6098,0.0413,0.0027,0.9753,42.2
1832326,0.4268,0.3659,0.4878,0.0391,0.0029,0.9653,42.2
1832336,1.0976,0.5488,0.3049,0.0457,0.0085,0.9695,42.2
1832346,0.4878,0.6098,0.5488,0.0374,-0.0002,0.9707,42.2
1832356,0.4878,0.4268,0.4878,0.0435,0.0007,0.9690,42.2
1832366,0.4878,0.7317,0.7927,0.0425,0.0005,0.9678,42.3
1832376,1.0366,0.6707,0.5488,0.0457,0.0007,0.9702,42.2
1832386,0.7317,0.5488,0.6707,0.0410,-0.0022,0.9688,42.3
1832396,0.4878,0.4268,0.6707,0.0457,0.0046,0.9763,42.3
1832406,0.4878,0.4268,0.6098,0.0452,-0.0002,0.9683,42.2
1832416,0.9756,0.4878,0.3049,0.0483,-0.0051,0.9727,42.2
1832426,0.5488,0.6098,0.4268,0.0444,0.0007,0.9688,42.2
1832436,0.5488,0.3659,0.6098,0.0376,0.0049,0.9653,42.2
1832446,0.4878,0.5488,0.6707,0.0369,0.0039,0.9690,42.3
1832456,0.9756,0.6098,0.6098,0.0376,-0.0034,0.9668,42.2
1832466,0.7317,0.8537,0.6707,0.0398,0.0002,0.9702,42.2
1832476,0.4878,0.4268,0.7927,0.0369,0.0024,0.9736,42.2
1832486,0.6098,0.4268,0.6098,0.0332,0.0044,0.9700,42.2
1832496,0.7317,0.4878,0.6098,0.0449,0.0098,0.9712,42.2
1832506,0.8537,0.9146,0.3049,0.0417,0.0115,0.9614,42.2
1832516,0.4878,0.5488,0.3659,0.0378,0.0017,0.9580,42.2
1832526,0.5488,0.3659,0.4268,0.0452,0.0022,0.9614,42.2
1832536,0.7317,0.5488,0.5488,0.0442,0.0020,0.9724,42.2
1832546,0.7927,0.8537,0.3659,0.0391,-0.0005,0.9734,42.2
1832556,0.4878,0.2439,0.4878,0.0374,-0.0007,0.9675,42.2
1832566,0.5488,0.3659,0.4878,0.0410,0.0039,0.9702,42.2
1832576,0.6707,0.5488,0.4878,0.0398,0.0020,0.9810,42.2
1832586,0.8537,0.7317,0.3049,0.0449,0.0017,0.9680,42.2
1832596,0.6098,0.4268,0.5488,0.0486,0.0039,0.9558,42.2
1832606,0.6098,0.5488,0.6707,0.0383,-0.0005,0.9661,42.2
1832616,0.5488,0.4268,0.7317,0.0398,0.0037,0.9634,42.2
1832626,0.9146,0.7927,0.4268,0.0439,-0.0020,0.9626,42.2
1832636,0.4268,0.4268,0.7317,0.0359,-0.0044,0.9678,42.2
1832646,0.6098,0.4268,0.8537,0.0488,0.0022,0.9746,42.3
1832656,0.5488,0.4268,0.7317,0.0415,-0.0007,0.9619,42.2
1832666,1.1585,0.6098,0.3659,0.0366,0.0022,0.9695,42.2
1832676,0.4878,0.4268,0.6707,0.0454,0.0007,0.9683,42.2
1832686,0.5488,0.4878,0.4878,0.0437,0.0029,0.9734,42.2
1832696,0.6098,0.3659,0.4878,0.0437,0.0046,0.9670,42.2
1832706,1.1585,0.8537,0.1220,0.0439,0.0027,0.9670,42.2
1832716,0.4268,0.6707,0.6707,0.0435,-0.0020,0.9663,42.2
1832726,0.5488,0.5488,0.6098,0.0359,0.0007,0.9739,42.2
1832736,0.3659,0.4268,0.7317,0.0447,-0.0015,0.9670,42.2
1832746,1.1585,0.7317,0.4268,0.0417,0.0042,0.9719,42.2
1832756,0.4268,0.5488,0.6707,0.0427,0.0078,0.9670,42.2
1832766,0.4878,0.3659,0.4268,0.0415,0.0027,0.9709,42.2
1832776,0.4268,0.5488,0.3659,0.0417,0.0002,0.9683,42.1
1832786,0.9756,0.7317,0.1220,0.0427,-0.0051,0.9714,42.4
1832796,0.4878,0.4878,0.4268,0.0325,-0.0020,0.9700,42.3
1832806,0.4878,0.5488,0.5488,0.0398,-0.0051,0.9734,42.2
1832816,0.6098,0.4878,0.4878,0.0405,-0.0049,0.9629,42.3
1832826,1.1585,0.6098,0.5488,0.0503,0.0002,0.9617,42.2
1832836,0.6707,0.6098,0.8537,0.0366,-0.0020,0.9666,42.2
1832846,0.4878,0.4268,0.7927,0.0413,0.0056,0.9668,42.2
1832856,0.6707,0.5488,0.8537,0.0386,-0.0032,0.9697,42.2
1832866,0.9756,0.6098,0.5488,0.0371,0.0042,0.9656,42.3
1832876,0.5488,0.3659,0.7317,0.0479,0.0017,0.9651,42.2
1832886,0.5488,0.3659,0.6098,0.0452,0.0002,0.9690,42.3
1832896,0.7927,0.4878,0.1829,0.0466,0.0078,0.9651,42.2
1832906,0.6707,0.6707,0.3049,0.0408,0.0051,0.9695,42.2
1832916,0.4268,0.4878,0.4268,0.0391,0.0085,0.9707,42.2
1832926,0.4878,0.3659,0.3659,0.0381,0.0042,0.9644,42.2
1832936,0.7927,0.5488,0.4268,0.0432,0.0034,0.9651,42.2
1832946,0.7317,0.6098,0.5488,0.0432,0.0039,0.9612,42.2
1832956,0.5488,0.4268,0.5488,0.0420,0.0078,0.9707,42.3
1832966,0.3659,0.3049,0.7927,0.0383,0.0042,0.9656,42.2
1832976,1.0976,0.7317,0.4878,0.0437,-0.0010,0.9673,42.3
1832986,0.3659,0.5488,0.6098,0.0396,0.0071,0.9646,42.2
1832996,0.4268,0.3659,0.4878,0.0447,-0.0032,0.9592,42.2
1833006,0.4268,0.4268,0.6098,0.0432,-0.0007,0.9702,42.2
1833016,0.9756,0.6098,0.5488,0.0427,0.0002,0.9631,42.2
1833026,0.4268,0.6098,0.6707,0.0339,-0.0020,0.9690,42.2
1833036,0.6098,0.4268,0.8537,0.0479,0.0010,0.9692,42.2
1833046,0.4878,0.4268,0.6707,0.0347,-0.0007,0.9629,42.2
1833056,1.0366,0.4268,0.7927,0.0427,0.0059,0.9619,42.2
1833066,0.9146,0.6707,0.9146,0.0352,-0.0017,0.9734,42.2
1833076,0.5488,0.3659,0.7927,0.0432,-0.0005,0.9734,42.2
1833086,0.4268,0.3659,0.7927,0.0425,0.0071,0.9695,42.2
1833096,0.7927,0.4878,0.6098,0.0430,-0.0010,0.9631,42.2
1833106,0.7927,0.7317,0.4878,0.0525,0.0068,0.9658,42.2
1833116,0.4878,0.3049,0.8537,0.0393,0.0066,0.9656,42.2
1833126,0.5488,0.3659,0.6098,0.0442,0.0078,0.9731,42.2
1833136,0.6098,0.4878,0.4878,0.0464,0.0007,0.9722,42.2
1833146,0.9756,0.7317,0.1220,0.0425,0.0039,0.9714,42.2
1833156,0.4878,0.4268,0.2439,0.0469,0.0137,0.9673,42.2
1833166,0.4268,0.3659,0.0000,0.0540,0.0054,0.9724,42.2
1833176,0.5488,0.3659,0.0000,0.0461,-0.0020,0.9712,42.2
1833186,1.0366,0.5488,-0.0610,0.0466,0.0007,0.9724,42.2
1833196,0.4878,0.3659,0.3659,0.0400,-0.0037,0.9688,42.2
1833206,0.4268,0.4268,0.6098,0.0415,-0.0012,0.9639,42.2
1833217,0.4268,0.4878,0.7317,0.0422,-0.0039,0.9629,42.3
1833226,0.8537,0.8537,0.7927,0.0430,0.0007,0.9648,42.2
1833236,0.4268,0.6098,1.1585,0.0420,0.0005,0.9697,42.2
1833246,0.4878,0.4878,1.0366,0.0437,0.0056,0.9714,42.1
1833256,0.7317,0.5488,0.9146,0.0371,0.0076,0.9612,42.2
1833266,0.9756,0.7927,0.5488,0.0488,0.0000,0.9722,42.3
1833276,0.6098,0.1829,0.7317,0.0469,0.0046,0.9661,42.2
1833286,0.3659,0.3659,0.5488,0.0427,0.0034,0.9675,42.2
1833296,0.4268,0.3659,0.6098,0.0398,-0.0005,0.9702,42.2
1833306,1.2195,0.7317,0.3049,0.0422,0.0037,0.9673,42.2
1833316,0.5488,0.3049,0.6098,0.0364,0.0002,0.9590,42.2
1833326,0.4878,0.4268,0.6098,0.0422,0.0078,0.9573,42.3
1833336,0.6098,0.4878,0.6707,0.0308,0.0039,0.9705,42.3
1833346,1.0976,0.7927,0.4878,0.0322,0.0139,0.9624,42.2
1833356,0.4878,0.4268,0.4878,0.0452,0.0112,0.9697,42.2
1833366,0.4878,0.4268,0.5488,0.0457,0.0010,0.9729,42.3
1833376,0.4878,0.4878,0.5488,0.0386,0.0081,0.9648,42.3
1833386,1.0976,0.6707,0.1220,0.0422,-0.0010,0.9658,42.2
1833396,0.3049,0.3659,0.4268,0.0466,-0.0039,0.9656,42.2
1833406,0.6707,0.2439,0.3049,0.0442,-0.0042,0.9744,42.2
1833416,0.4268,0.1829,0.4268,0.0461,-0.0039,0.9688,42.2
1833426,1.0366,0.7317,0.3049,0.0427,-0.0073,0.9636,42.3
1833436,0.6098,0.4878,0.7317,0.0403,-0.0007,0.9658,42.2
1833446,0.5488,0.4268,0.6098,0.0452,-0.0066,0.9663,42.2
1833456,0.5488,0.5488,0.7927,0.0408,-0.0012,0.9695,42.3
1833466,1.0976,0.9146,0.6707,0.0454,-0.0059,0.9639,42.3
1833476,0.6098,0.6098,0.9756,0.0427,0.0022,0.9624,42.2
1833486,0.6098,0.5488,0.9756,0.0381,0.0034,0.9661,42.2
1833496,0.6707,0.4878,0.7927,0.0481,0.0051,0.9695,42.2
1833506,1.0976,0.8537,0.6707,0.0388,0.0068,0.9631,42.2
1833516,0.4878,0.3659,0.9756,0.0422,0.0068,0.9707,42.2
1833526,0.5488,0.4878,0.6098,0.0344,0.0051,0.9712,42.2
1833536,0.6098,0.5488,0.4268,0.0474,0.0027,0.9758,42.2
1833546,0.7927,0.7927,0.3049,0.0374,0.0088,0.9678,42.2
1833556,0.4878,0.5488,0.1220,0.0430,0.0107,0.9690,42.2
1833566,0.4878,0.5488,0.3659,0.0488,0.0042,0.9724,42.2
1833576,0.4268,0.4268,0.1829,0.0435,0.0029,0.9744,42.2
1833586,1.0366,0.7317,0.0610,0.0400,0.0103,0.9724,42.2
1833596,0.4878,0.4268,0.4878,0.0400,0.0002,0.9595,42.2
1833606,0.4268,0.5488,0.3659,0.0369,0.0020,0.9666,42.2
1833616,0.3049,0.3659,0.4268,0.0361,0.0042,0.9673,42.2
1833626,1.3415,0.7927,0.3049,0.0396,-0.0027,0.9695,42.2
1833636,0.3659,0.3659,0.6098,0.0410,-0.0054,0.9741,42.3
1833646,0.5488,0.3049,0.4878,0.0474,0.0012,0.9690,42.2
1833656,0.5488,0.4878,0.6098,0.0410,-0.0049,0.9773,42.2
1833666,1.3415,0.5488,0.3049,0.0374,-0.0090,0.9673,42.2
1833676,0.4268,0.6707,0.6098,0.0459,-0.0051,0.9712,42.3
1833686,0.6098,0.4878,0.9146,0.0403,0.0007,0.9639,42.2
1833696,0.5488,0.4878,1.0976,0.0442,-0.0010,0.9685,42.2
1833706,0.9756,0.6098,0.7317,0.0476,-0.0017,0.9658,42.2
1833716,0.6098,0.6098,0.7317,0.0464,0.0042,0.9736,42.2
1833726,0.5488,0.4268,0.5488,0.0461,0.0081,0.9656,42.2
1833736,0.3659,0.5488,0.6707,0.0417,0.0090,0.9690,42.3
1833746,1.0366,0.6098,0.3659,0.0430,0.0095,0.9683,42.2
1833756,0.4268,0.6098,0.5488,0.0410,0.0083,0.9727,42.2
1833766,0.6098,0.5488,0.5488,0.0447,0.0107,0.9619,42.2
1833776,0.3659,0.4268,0.4268,0.0417,0.0081,0.9714,42.2
1833786,1.0976,0.5488,0.2439,0.0391,-0.0022,0.9641,42.2
1833796,0.3659,0.4878,0.4878,0.0410,0.0051,0.9661,42.3
1833806,0.4268,0.4878,0.3659,0.0393,-0.0029,0.9639,42.2
1833816,0.4878,0.3659,0.5488,0.0383,0.0020,0.9624,42.3
1833826,1.2195,0.7317,0.2439,0.0410,-0.0007,0.9675,42.2
1833836,0.3049,0.4878,0.4878,0.0515,-0.0022,0.9731,42.2
1833846,0.5488,0.5488,0.5488,0.0422,-0.0024,0.9624,42.3
1833856,0.3049,0.3049,0.6707,0.0378,0.0027,0.9705,42.2
1833866,1.0976,0.6707,0.3659,0.0400,-0.0129,0.9648,42.2
1833876,0.4878,0.5488,0.7317,0.0381,-0.0022,0.9688,42.3
1833886,0.6098,0.3049,0.6707,0.0371,-0.0020,0.9646,42.3
1833896,0.4268,0.4268,0.8537,0.0449,-0.0002,0.9631,42.3
1833906,1.2805,0.7317,0.3659,0.0376,0.0039,0.9668,42.2
1833916,0.4268,0.6098,0.7317,0.0383,0.0081,0.9670,42.2
1833926,0.6098,0.4268,0.7927,0.0476,0.0071,0.9697,42.2
1833936,0.4268,0.5488,1.0366,0.0642,0.0017,0.9619,42.3
1833946,1.2195,0.7317,0.8537,0.0576,-0.0208,0.9685,42.2
1833956,-0.3049,1.3415,2.0732,-0.3367,-0.0615,0.9084,42.3
1833966,1.5244,1.0976,4.8780,-0.3330,-1.0117,1.1506,42.3
1833976,-0.9756,0.1220,3.1707,0.4495,0.3120,0.9648,42.3
1833986,1.0366,2.5610,4.5122,-0.4265,-0.9016,1.0308,42.3
1833996,-0.7317,0.0000,7.0122,-0.4612,-0.8164,4.0667,42.2
1834006,-0.7927,0.3659,9.3293,-1.1499,0.3152,3.8696,42.1
1834016,4.6951,2.3171,16.0976,-0.5066,-0.7471,3.4121,42.2
1834026,-4.6341,0.0610,4.0244,-1.4663,0.9133,7.1484,42.2
1834036,1.0366,-0.2439,1.4634,1.7900,-3.5759,5.7263,42.3
1834046,0.4878,0.2439,2.8659,0.0444,1.5710,4.6150,42.3
1834056,1.3415,1.7683,-1.7073,1.2412,-0.4255,5.3196,42.2
1834066,2.2561,5.1829,6.2805,0.6243,1.8269,4.8176,42.3
1834076,-2.0732,5.5488,1.0976,-1.7195,-0.7842,5.9204,42.3
1834086,1.2805,-0.6707,11.0366,0.0793,-1.3179,5.9819,42.2
1834096,1.6463,-2.9268,15.6098,-0.3269,1.1926,4.3235,42.2
1834106,0.7317,-0.6098,17.6829,1.0127,-1.2200,4.2937,42.2
1834116,2.4390,-2.2561,7.2561,1.9214,0.1929,4.1091,42.2
1834126,1.4634,-5.2439,12.0732,-0.5154,-0.1907,4.1235,42.2
1834136,-1.8902,0.0610,9.5122,-0.8347,-0.4529,4.9023,42.2
1834146,0.6707,1.5244,11.0976,-0.6130,-0.0947,4.0845,42.2
1834156,-0.1829,0.5488,3.3537,0.8516,1.3069,4.6868,42.2
1834166,1.4634,-0.1220,4.2073,1.3015,0.5691,4.7139,42.2
1834176,2.3780,5.0000,10.6098,0.1199,-0.9602,5.6079,42.2
1834186,5.0610,0.4268,27.5000,1.0476,2.2754,4.6350,42.2
1834196,-0.2439,-5.3049,26.0366,1.3225,1.8245,4.8105,42.2
1834206,-0.6098,0.0610,26.4634,-0.6072,0.8689,4.0325,42.2
1834216,-3.5976,1.3415,0.2439,-3.5845,3.1899,4.1516,42.2
1834226,-0.7317,1.5854,-3.5976,-0.6829,-0.1682,3.8850,42.2
1834236,0.0610,2.7439,1.9512,-1.2288,-2.0100,4.0867,42.2
1834246,8.2927,8.4756,24.3902,-0.4307,-1.1208,4.2051,42.2
1834256,5.4878,-4.7561,47.7439,-2.5857,-2.3015,3.8911,42.2
1834266,-2.9878,1.2195,37.7439,-0.8674,0.2266,4.5139,42.2
1834276,-0.4878,0.0610,1.8293,-0.3379,-1.3330,4.8032,42.2
1834286,-2.4390,0.3049,15.8537,-0.4375,0.5029,4.2585,42.2
1834296,-0.5488,2.0732,25.7317,1.2942,1.0845,4.3765,42.3
1834306,1.2195,3.4756,28.2317,0.2561,-0.4146,4.2454,42.2
1834316,2.7439,-0.6098,19.1463,1.3284,0.3997,3.9165,42.2
1834326,0.2439,2.0732,27.3171,-0.2336,-0.7834,4.1509,42.3
1834336,-0.3659,-0.4878,28.7195,-0.8640,1.5698,4.2024,42.3
1834346,-1.2195,-1.3415,21.6463,-0.1230,-0.7981,3.3770,42.2
1834356,1.5854,-5.6098,41.0366,1.4150,3.9719,3.3733,42.2
1834366,0.6098,-1.4634,25.0000,-0.5278,0.1030,2.9988,42.2
1834376,2.9878,-0.8537,19.7561,0.4094,0.9771,2.9355,42.2
1834386,3.3537,3.3537,2.4390,0.4546,-1.7085,2.5574,42.2
1834396,5.8537,4.5732,3.0488,-0.1589,2.1636,2.2144,42.3
1834406,5.2439,1.1585,-2.0732,-0.0625,-0.1995,2.4451,42.2
1834416,2.2561,-1.4634,-16.8293,-0.9268,0.9502,3.5486,42.3
1834426,-0.7927,2.9878,-12.5610,0.9285,-1.0920,3.9319,42.3
1834436,-0.3659,6.0366,-6.7683,0.4392,-0.3127,3.4353,42.2
1834446,1.2195,4.6951,-14.5732,0.0205,0.1006,3.3691,42.3
1834456,1.4634,2.8659,-11.7073,0.0659,-0.2683,3.4585,42.2
1834466,0.8537,5.6707,-11.7073,0.0696,0.4177,3.3987,42.3
1834476,-0.5488,6.5244,-14.9390,-0.0273,-0.0022,3.3887,42.3
